SNO,INSTCODE,NAME_OF_THE_INSTITUTION,TYPE,INST_REG,DIST,PLACE,COED,AFFL.,ESTD,A_REG,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLFEE
86,KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,PVT,AU,EG,KAKINADA,GIRLS,JNTUK,2008,AU,CSM,93395.5,124396,146661,166187,140100,142504,132783,158930,135139,149564,106391,119110,130197,141544,127446,124396,107474,172840,43000
87,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,EG,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,AIM,93395.5,174324,146661,174324,148232,174324,132783,174324,135139,174324,106391,174324,130197,174324,127446,174324,107474,99480,43000
88,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,EG,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,CIV,93395.5,102511.5,146661,149941,170720,170720,132783,139913,135139,142215,106391,119110,130197,137132,127446,135793,107474,99480,43000
89,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,EG,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,CSE,139261,139261,176679,176679,139261,170297,139261,139261,139261,155279,139261,139261,159900,159900,139261,139261,107474,99480,43000
90,KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,PVT,AU,EG,RAMACHANDRAPURAM,COED,JNTUK,2008,AU,ECE,118590,118590,166676,168496,162179,162179,154201,154201,170872,170872,118590,118590,118590,171562,118590,118590,130718,99480,43000
91,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008,AU,CIV,149191,149191,149191,165018,172050,172050,149191,149191,149191,149191,149191,149191,149191,149191,149191,149191,107474,99480,43000
92,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008,AU,CSD,93395.5,104631,164680,164680,143028,143028,167855,174794,157938,157938,106391,104631,160011,160048,157465,157465,149417,167782,43000
93,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008,AU,CSE,108657,108657,163227,163227,160680,160680,173704,173704,133281,133281,108657,109119,154234,172011,127081,169119,159674,149060,43000
94,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008,AU,ECE,102445,105596,171546,171546,157470,170544,151770,171858,169267,169267,102445,105596,161069,161069,171152,171152,175619,166561,43000
95,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008,AU,EEE,119718,119718,119718,119718,119718,119718,172452,172452,119718,119718,119718,119718,119718,119718,119718,119718,107474,99480,43000
96,KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,PVT,AU,EG,DIVILI,COED,JNTUK,2008,AU,MEC,156488,156488,164710,164710,156488,156488,156488,156488,156488,156488,156488,156488,156488,156488,156488,156488,161427,170434,43000
97,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,EG,RAMPACHODAVARAM,COED,JNTUK,2000,AU,CIV,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,177255,107474,99480,43000
98,LENO,LENORA COLLEGE OF ENGINEERING,PVT,AU,EG,RAMPACHODAVARAM,COED,JNTUK,2000,AU,CSE,147210,147210,164570,164570,156034,156034,167574,167574,150708,150708,147210,147210,165933,174492,147210,147210,166591,132274,43000
